time	"lpz c E"	"lpz b E"	"p lpz E"	"o E"
#0.0	14814	7949	5861	1516
#300.0	14814	7949	5861	1516
#600.0	14814	7949	5861	1516
#900.0	14814	7949	5861	1516
#1200.0	14814	7949	5861	1516
#1500.0	14814	7949	5861	1516
#1600.0	14811	7958	5864	1516
#1700.0	14835	7966	5867	1522
#1800.0	14854	7968	5868	1524
#1900.0	14858	7971	5866	1525
2000.0	14862	7986	5875	1529
#2100.0	15074	8148	6023	1585
#2200.0	15134	8240	6179	1647
#2300.0	15119	8251	6379	1710
#2400.0	15069	8230	6659	1819
2500.0	15013	8207	6978	1917
#2600.0	14940	8174	7352	2025
#2700.0	14885	8142	7767	2135
#2800.0	14825	8107	8177	2269
#2900.0	14768	8071	8620	2401
3000.0	14706	8032	9078	2560
4000.0	14103	7659	14305	4254
#5000.0	13551	7426	18958	5838
6000.0	13434	7678	20853	6412
#7000.0	13719	8019	21005	6449
8000.0	13968	8228	20913	6415
#9000.0	14105	8321	20779	6374
10000.0	14232	8404	20684	6343
#11000.0	14386	8539	20713	6359
12000.0	14478	8606	20624	6338
#13000.0	14563	8696	20578	6321
14000.0	14673	8775	20560	6322
#15000.0	14820	8914	20676	6350
16000.0	14947	9013	20717	6374
#17000.0	15088	9096	20744	6379
18000.0	15211	9214	20808	6404
#19000.0	15347	9336	20892	6438
