Time,lpz c E,lpz b E,p lpz E,o E
#0,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#300,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#600,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#900,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#1200,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#1500,0.497823800472977,0.498448561170789,0.50290592728346,0.496336628087862
#1600,0.49800257211071,0.498560712720491,0.50297065545405,0.496673497736304
#1700,0.498401828724337,0.498915186391225,0.503240859113574,0.496977894713925
#1800,0.498803460949443,0.499275739383859,0.503547133593787,0.497354043770043
#1900,0.499068926521301,0.499564811580099,0.503929122401554,0.497424610867973
2000,0.499432663904677,0.499942598387663,0.503977754080432,0.497369726906027
#2100,0.499608186346242,0.500271333129871,0.50386190136161,0.497827482065517
#2200,0.500512132083667,0.500739569757685,0.503729948626691,0.497419318040113
#2300,0.501201942846952,0.501295941426769,0.50337819553937,0.497956889365844
#2400,0.502015549978313,0.502287341791685,0.503504848024642,0.497445554725929
2500,0.502921149324845,0.503169249941567,0.503400056493763,0.497177902881638
#2600,0.503893419161451,0.504005985404236,0.503630238926491,0.496916713986288
#2700,0.504673441666784,0.50493876718449,0.503862118639661,0.496238995456264
#2800,0.505493458351337,0.505894929714113,0.503585846121157,0.49702924035246
#2900,0.506269368166459,0.506789848180554,0.503054419494554,0.49693372147026
3000,0.507088410826777,0.507785551025414,0.502881629272444,0.497006860886565
4000,0.514170633729086,0.516525317064452,0.502216484450388,0.497311284029962
#5000,0.520550727160466,0.522353755949677,0.501962325535691,0.498404183247077
6000,0.524758663109834,0.524003510548806,0.50178586986238,0.497967252214628
#7000,0.525717725366042,0.523706510696086,0.503469826983573,0.499825722104333
8000,0.525865033551112,0.523046838768174,0.505221139493168,0.502122154290194
#9000,0.525840360361791,0.522792683305686,0.506721459166522,0.503781800970199
10000,0.526155472292318,0.5228059097357,0.50805432818249,0.504937327234581
#11000,0.526481865477602,0.522806843353988,0.50870146597076,0.5055202521603
12000,0.526679916613319,0.522966332518578,0.509648302868868,0.506714299102355
#13000,0.526913405203658,0.523120588068807,0.510399587230003,0.507709975909277
14000,0.527035535748015,0.523107090542937,0.510922978605426,0.508363302131041
#15000,0.527344916894111,0.52341886884832,0.511139297759672,0.508834539215864
16000,0.527649677915253,0.523730521301558,0.511673975569898,0.509493551351085
#17000,0.527725724724459,0.5239086646831,0.512201939738221,0.509948001463148
18000,0.52784351700273,0.524012471290867,0.512590048704611,0.510502478629265
#19000,0.528173229808736,0.524405564343042,0.512903299580707,0.510903364778549
