time	"lpz c E"	"lpz b E"	"p lpz E"	"o E"
#0.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#300.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#600.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#900.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#1200.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#1500.0	7374.76178020668	3962.1676127466035	2947.531639808357	752.4463281811984
#1600.0	7375.916095531728	3967.546151829665	2949.4199235825517	752.9570225682365
#1700.0	7393.791129125534	3974.358374792501	2952.514120419339	756.4003557545935
#1800.0	7409.226608943021	3978.229091410585	2954.8145799283443	757.9675627055452
#1900.0	7415.166110253487	3982.0311131049684	2956.0482320075153	758.5725315736593
2000.0	7422.568250951314	3992.5415907238757	2960.869305222539	760.4783124393159
#2100.0	7531.093800983244	4076.210822342191	3034.7602319009757	789.0565590738439
#2200.0	7574.750606954214	4126.094054803326	3112.5473525643247	819.249616812067
#2300.0	7577.672173903071	4136.192812712272	3211.0495093456384	851.5062808155928
#2400.0	7564.872322623195	4133.824822945564	3352.838782996093	904.8534640464655
2500.0	7550.355214813899	4129.510034270439	3512.7255942134793	953.0900398241008
#2600.0	7528.167682272073	4119.744924694224	3702.68951658756	1006.2563458222323
#2700.0	7512.064179210078	4111.211442416117	3913.4970754742476	1059.4702552991243
#2800.0	7493.940520058575	4101.290195192311	4117.8214637327	1127.7593463597311
#2900.0	7476.586029082265	4090.300864665249	4336.3290960430595	1193.1378652500941
3000.0	7457.242169618576	4078.533545836122	4565.159430535246	1272.3375638696052
4000.0	7251.348447481303	3956.0674033966384	7184.2068100627985	2115.5622022634575
#5000.0	7053.982903751477	3878.9989916822974	9516.201767505623	2909.683621796433
6000.0	7049.607880217511	4023.2989539937294	10463.740744240205	3192.9660212001945
#7000.0	7212.321474296736	4199.602509271912	10575.383715789956	3223.376081850841
8000.0	7345.282788641928	4303.629389384533	10565.689690220615	3221.1136197715928
#9000.0	7416.978282903067	4350.1579177866115	10529.165200021154	3211.1051993840483
10000.0	7488.244681664268	4393.660865418826	10508.595724126631	3202.8174666489485
#11000.0	7573.968116760785	4464.247635399706	10536.733464652343	3214.6032834873504
12000.0	7625.271832727628	4500.6482576548815	10510.986598367535	3211.555227710723
#13000.0	7673.439919980872	4549.056633846346	10503.002706019002	3209.23475772254
14000.0	7733.192416030624	4590.26471951427	10504.576440127563	3213.872796072439
#15000.0	7815.251668370726	4665.755796913924	10568.31612047897	3231.099324020739
16000.0	7886.779735799286	4720.383188490938	10600.349751881571	3247.5118963118184
#17000.0	7962.325734642642	4765.473213957476	10625.117037929649	3252.9583013334204
18000.0	8029.027737128524	4828.250910474045	10665.973733445542	3269.2578731418107
#19000.0	8105.8745578746775	4895.8503487066355	10715.575734840128	3289.195862444301
