time	"lpz c I"	"lpz b I"	"p lpz I"	"o I"
#0.0	2681	1846	2251	975
#300.0	2681	1846	2251	975
#600.0	2681	1846	2251	975
#900.0	2681	1846	2251	975
#1200.0	2681	1846	2251	975
#1500.0	2681	1846	2251	975
#1600.0	2681	1844	2254	991
#1700.0	2689	1849	2259	1035
#1800.0	2693	1852	2266	1102
#1900.0	2710	1857	2286	1175
2000.0	2718	1860	2290	1222
#2100.0	2719	1859	2254	1213
#2200.0	2719	1861	2174	1133
#2300.0	2719	1862	2112	1102
#2400.0	2721	1863	2035	1049
2500.0	2723	1867	1935	1000
#2600.0	2723	1866	1868	977
#2700.0	2718	1861	1770	933
#2800.0	2715	1857	1704	907
#2900.0	2706	1849	1622	879
3000.0	2694	1837	1543	853
4000.0	2516	1714	977	563
#5000.0	2241	1545	716	356
6000.0	2091	1447	623	345
#7000.0	2241	1581	753	675
8000.0	2429	1720	1001	1193
#9000.0	2573	1813	1225	1603
10000.0	2648	1876	1399	1896
#11000.0	2712	1918	1467	2082
12000.0	2784	1963	1575	2472
#13000.0	2837	2001	1700	2758
14000.0	2899	2047	1782	2979
#15000.0	2933	2081	1832	3085
16000.0	2970	2125	1910	3277
#17000.0	3012	2176	2004	3478
18000.0	3058	2206	2050	3629
#19000.0	3109	2241	2096	3706
