Time,lpz c I,lpz b I,p lpz I,o I
#0,1E-18,1E-18,1E-18,1E-18
#300,3.15156164037893,2.62410805309301,2.89370461001119,2.09328656189278
#600,3.38708268026884,2.68328733224188,2.74542831996908,1.875490725868
#900,3.6393918945081,2.85456072762424,2.71919865102912,1.75051730063257
#1200,3.72396811697096,2.93236043930886,2.55460852995048,1.60733834275631
#1500,3.9357676940559,3.01178782875745,2.44851808731174,1.46745536562023
#1600,3.87779972318464,2.9612224375788,2.41103140695722,1.40281334289508
#1700,4.01986238910759,3.05201472024762,2.43609945672571,1.37889569191877
#1800,3.99083433314315,2.96674396098164,2.3325148661922,1.21755000652086
#1900,4.09635537301339,3.09670965526797,2.37403295304136,1.16716710184645
2000,4.03411694594132,3.09169438376445,2.32191671946286,1.08081805195786
#2100,4.55018159568832,3.50705967492148,1.84232869275602,0.808613722609326
#2200,5.1440872482275,4.03755945095382,1.60495271999309,0.729166158056439
#2300,5.61206447863466,4.46712275579267,1.36776332031536,0.582275083293593
#2400,6.12611867973472,4.95436364657686,1.21017409407231,0.498697148662133
2500,6.51970021038623,5.37479036560084,1.07766461898561,0.422444041651293
#2600,6.95742955858365,5.85144347130617,1.01296825245726,0.413978627640619
#2700,7.42355962719844,6.41408798584595,1.03881099451077,0.416774173609243
#2800,7.76001296451705,6.85680846454676,0.966757849675277,0.359385260714397
#2900,8.12967535252173,7.35000602274911,0.966825221455509,0.369453396946385
3000,8.52584035759395,7.86292651267273,1.00146670338748,0.344836525129447
4000,11.6895309862779,12.2052209242877,2.30169966007164,0.703191780266215
#5000,14.1801184041499,14.9861682704689,5.65286196665913,1.81587683799957
6000,14.9654855195082,15.5697671138711,7.24952505392125,1.90464197958161
#7000,14.6740517766953,14.4459187803135,5.54797871042877,0.857768159829871
8000,15.0049207213496,14.0329395848953,3.86031095249942,0.45010547942869
#9000,15.295674325686,13.8859896501836,3.0007939015544,0.298652805300224
10000,15.4357456734989,13.8562530429656,2.49668548971174,0.217154100612172
#11000,15.4150917181176,13.7925514973364,2.23241143750069,0.178403811704044
12000,15.3052206677246,13.6911478561777,1.99828939050121,0.134397541115416
#13000,15.3147717117397,13.6113826117249,1.78211743746384,0.106121656275473
14000,15.2852952294086,13.5698547581254,1.64415194469741,0.088424204458317
#15000,15.4093472599142,13.5781031515352,1.48362262470378,0.07147178050334
16000,15.4810430846219,13.4971352621278,1.35350888357738,0.058869278882793
#17000,15.5023006592742,13.4764810131544,1.19663744672461,0.049529052165157
18000,15.5259287648935,13.4861632232751,1.07423536370331,0.043406430437925
#19000,15.5526593775169,13.5018001705045,0.971961794805414,0.036815734766557
