time	"lpz c E"	"lpz b E"	"p lpz E"	"o E"
#0.0	5970	9721	19354	25297
#300.0	5970	9721	19354	25297
#600.0	5970	9721	19354	25297
#900.0	5970	9721	19354	25297
#1200.0	5970	9721	19354	25297
#1500.0	5970	9721	19354	25297
#1600.0	5972	9719	19367	25302
#1700.0	5968	9724	19363	25330
#1800.0	5966	9721	19384	25349
#1900.0	5963	9718	19375	25338
2000.0	5962	9710	19378	25325
#2100.0	5962	9721	19396	25355
#2200.0	5956	9699	19415	25363
#2300.0	5926	9666	19442	25361
#2400.0	5901	9621	19458	25377
2500.0	5879	9583	19449	25373
#2600.0	5857	9541	19441	25344
#2700.0	5836	9496	19428	25325
#2800.0	5819	9449	19409	25299
#2900.0	5798	9402	19388	25241
3000.0	5783	9363	19354	25203
4000.0	5535	8948	19022	24738
#5000.0	5293	8534	18644	24294
6000.0	5114	8261	18183	23697
#7000.0	4952	8097	17563	22921
8000.0	4829	7897	16899	22109
#9000.0	4675	7663	16281	21262
10000.0	4508	7408	15695	20448
#11000.0	4368	7197	15082	19640
12000.0	4232	6940	14504	18866
#13000.0	4080	6697	13954	18081
14000.0	3938	6454	13391	17342
#15000.0	3789	6227	12877	16655
16000.0	3632	5994	12401	15960
#17000.0	3494	5770	11915	15291
18000.0	3354	5538	11445	14643
#19000.0	3210	5309	11002	13978
