Time,lpz c E,lpz b E,p lpz E,o E
#0,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#300,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#600,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#900,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#1200,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#1500,0.499205054382821,0.498677591929995,0.501718265898022,0.499628010381325
#1600,0.499216372492861,0.498944825940981,0.501808489668069,0.499741449854128
#1700,0.499902036536391,0.499328327596351,0.502450633904822,0.500144164800942
#1800,0.500328170291766,0.49968239320957,0.502741003613808,0.500507531573569
#1900,0.500741557113286,0.500018173035181,0.503141717504433,0.500927669782661
2000,0.501103170072261,0.500522560831718,0.503407453666443,0.501322658849087
#2100,0.50147044624665,0.500956398412635,0.503689351131075,0.501546560207314
#2200,0.501972816351829,0.501751730657695,0.504014476607082,0.501903858110482
#2300,0.503175282812116,0.502675892070225,0.504332362114925,0.502379871057172
#2400,0.504110200805853,0.50367251719286,0.50471916428253,0.502691273512181
2500,0.504901530155226,0.504526757991506,0.505143185960763,0.503098527642755
#2600,0.505677795282641,0.50540733029917,0.505594334635507,0.503556029460019
#2700,0.506337033393995,0.506339974887161,0.50602801838382,0.503930813840236
#2800,0.506894515095504,0.50728974480414,0.506531879847196,0.504336336091972
#2900,0.507604045493136,0.508254016789114,0.506964414568552,0.504923786901009
3000,0.508075680742387,0.508982888581843,0.50756230062676,0.505381336084343
4000,0.515155757498859,0.51661243012608,0.512235982204303,0.510162367736894
#5000,0.521716704099846,0.523717000980354,0.516632955264166,0.514420255925149
6000,0.526429532152276,0.528139747955215,0.520990218774642,0.518652046653714
#7000,0.530535505451623,0.530837148218085,0.525951912937272,0.523446351782553
8000,0.533558398921377,0.533909026617039,0.530873416931831,0.528135421772315
#9000,0.537310354066168,0.537403256915404,0.535433760644715,0.532812132927754
10000,0.541289177748224,0.541117062010138,0.539587742826746,0.537239135943738
#11000,0.544611520162954,0.544182873358184,0.543797701440264,0.541538901246181
12000,0.547744741121251,0.547868022356267,0.547745524819197,0.545582428720305
#13000,0.551143603440674,0.551325427943336,0.551535553982453,0.549715433553834
14000,0.554234214623463,0.554781798063527,0.555342974178755,0.553711606739887
#15000,0.557725799894573,0.557949313422529,0.558869541040886,0.557384481589676
16000,0.561482722645653,0.561235544881491,0.562130388565534,0.561208877110314
#17000,0.564875629065714,0.564399396715508,0.565416568065089,0.564915001860314
18000,0.568217755956912,0.567783048144612,0.568704301534973,0.568461394364148
#19000,0.571469653774699,0.570897823145438,0.57180867424822,0.572174041543181
