time	"lpz c I"	"lpz b I"	"p lpz I"	"o I"
#0.0	2381	1926	3818	7627
#300.0	2381	1926	3818	7627
#600.0	2381	1926	3818	7627
#900.0	2381	1926	3818	7627
#1200.0	2381	1926	3818	7627
#1500.0	2381	1926	3818	7627
#1600.0	2381	1935	3818	7682
#1700.0	2390	1949	3831	7805
#1800.0	2399	1954	3860	7924
#1900.0	2435	1970	3891	8163
2000.0	2468	1983	3923	8352
#2100.0	2512	2013	3946	8534
#2200.0	2575	2084	3993	8843
#2300.0	2670	2147	4039	9137
#2400.0	2764	2224	4064	9476
2500.0	2866	2320	4090	9850
#2600.0	2917	2378	4119	10366
#2700.0	2915	2374	4170	10965
#2800.0	2915	2367	4183	11750
#2900.0	2910	2362	4221	12538
3000.0	2917	2356	4254	13247
4000.0	3485	2820	4539	20057
#5000.0	5449	4622	4744	24112
6000.0	7641	6799	5402	27739
#7000.0	9721	8907	7205	32388
8000.0	11367	10212	9716	38227
#9000.0	12734	11183	12176	44548
10000.0	13754	12121	14492	50804
#11000.0	14974	13114	16305	56348
12000.0	15630	13813	17964	62195
#13000.0	16381	14387	19604	67653
14000.0	17224	15152	21168	72557
#15000.0	18194	15994	22423	76604
16000.0	18841	16644	23804	80790
#17000.0	19411	17308	25007	84790
18000.0	20071	18012	26006	88635
#19000.0	20698	18672	27141	92347
