Time,lpz c I,lpz b I,p lpz I,o I
#0,1E-18,1E-18,1E-18,1E-18
#300,2.53278036167704,2.81828427481423,3.41414323763238,2.57970837836761
#600,2.42697719984065,2.95129751174818,3.63650295983576,2.63041111540135
#900,2.36799990671533,3.11863943698773,3.85400332497567,2.63461440098103
#1200,2.27697022857995,3.26594637627003,3.95047834195786,2.60147460502359
#1500,2.22128784527245,3.35916748920532,4.02602048405436,2.59339595436992
#1600,2.14361634600456,3.33652258235718,4.059380641234,2.58619843837629
#1700,2.19579292835519,3.41834606134826,4.13289204385072,2.60210693900639
#1800,2.0953740091732,3.32289848521619,4.05430441304713,2.50487074089584
#1900,2.1223155325418,3.43650888364242,4.12466716273308,2.47133869170978
2000,2.06865592138343,3.45204881440834,4.14102071390349,2.40838537087511
#2100,2.52406680188692,3.91742899385805,3.97125111616486,2.30505181407691
#2200,2.9926591942872,4.38476983153229,3.84544821395651,2.24597307612186
#2300,3.35861204644588,4.80665616326017,3.71134893701036,2.12923112548019
#2400,3.76845209010478,5.238894497353,3.61641557712131,2.0264583940304
2500,4.07290854736693,5.57807714329181,3.51628389404405,1.90440811898167
#2600,4.49876750925342,6.06090245765793,3.50994727087221,1.83482813468782
#2700,5.03436155091879,6.72430956844016,3.50304302414107,1.73354870349519
#2800,5.48894727549722,7.31892048384641,3.45908333843105,1.58362270704854
#2900,5.99691091281248,7.9674705116162,3.43445096606281,1.50034901632324
3000,6.46395289070342,8.57146046335275,3.406306637482,1.40203176458395
4000,9.40144022919862,11.8086311871509,3.59140238087478,0.889071810252931
#5000,8.91191785056246,10.1381487219283,3.62147308729979,0.645451930621201
6000,7.99673845030806,8.83386678351976,2.63117752410753,0.415437016176451
#7000,7.42702850346118,8.16050973094639,1.52651925110452,0.284556054132159
8000,7.30388308278659,8.2825335466341,0.901925034643449,0.209062606966595
#9000,7.26510968590708,8.38969691520377,0.621417375856185,0.160673410694688
10000,7.2153946380882,8.29032001464249,0.455233235001865,0.125691153455492
#11000,6.92583626621199,8.05742220319453,0.351156691172054,0.099953823938974
12000,6.80783000383254,7.94315310484052,0.274341016858102,0.086002499294739
#13000,6.55518652764181,7.78859532050108,0.21593225332063,0.067131621630176
14000,6.21993741654311,7.493738726156,0.175966484142188,0.058885416807424
#15000,5.77009351048969,7.12197358491919,0.139266382071822,0.046760645389793
16000,5.3872065763553,6.78460074846296,0.110875846400846,0.038885657019974
#17000,4.95877394738285,6.38849075893959,0.086161722618897,0.033150711311872
18000,4.50883645285507,5.94763587827325,0.068239839895741,0.030122385162961
#19000,4.0482138982319,5.47012432804501,0.055867776231807,0.026499273750839
